areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2021-10-01,38,136943
overview,United Kingdom,K02000001,2021-09-30,66,136905
overview,United Kingdom,K02000001,2021-09-29,86,136839
overview,United Kingdom,K02000001,2021-09-28,87,136753
overview,United Kingdom,K02000001,2021-09-27,103,136666
overview,United Kingdom,K02000001,2021-09-26,84,136563
overview,United Kingdom,K02000001,2021-09-25,109,136479
overview,United Kingdom,K02000001,2021-09-24,116,136370
overview,United Kingdom,K02000001,2021-09-23,134,136254
overview,United Kingdom,K02000001,2021-09-22,141,136120
overview,United Kingdom,K02000001,2021-09-21,121,135979
overview,United Kingdom,K02000001,2021-09-20,133,135858
overview,United Kingdom,K02000001,2021-09-19,123,135725
overview,United Kingdom,K02000001,2021-09-18,120,135602
overview,United Kingdom,K02000001,2021-09-17,167,135482
overview,United Kingdom,K02000001,2021-09-16,149,135315
overview,United Kingdom,K02000001,2021-09-15,140,135166
overview,United Kingdom,K02000001,2021-09-14,153,135026
overview,United Kingdom,K02000001,2021-09-13,110,134873
overview,United Kingdom,K02000001,2021-09-12,138,134763
overview,United Kingdom,K02000001,2021-09-11,135,134625
overview,United Kingdom,K02000001,2021-09-10,143,134490
overview,United Kingdom,K02000001,2021-09-09,162,134347
overview,United Kingdom,K02000001,2021-09-08,138,134185
overview,United Kingdom,K02000001,2021-09-07,154,134047
overview,United Kingdom,K02000001,2021-09-06,137,133893
overview,United Kingdom,K02000001,2021-09-05,154,133756
overview,United Kingdom,K02000001,2021-09-04,133,133602
overview,United Kingdom,K02000001,2021-09-03,146,133469
overview,United Kingdom,K02000001,2021-09-02,127,133323
overview,United Kingdom,K02000001,2021-09-01,116,133196
overview,United Kingdom,K02000001,2021-08-31,115,133080
overview,United Kingdom,K02000001,2021-08-30,105,132965
overview,United Kingdom,K02000001,2021-08-29,128,132860
overview,United Kingdom,K02000001,2021-08-28,122,132732
overview,United Kingdom,K02000001,2021-08-27,127,132610
overview,United Kingdom,K02000001,2021-08-26,116,132483
overview,United Kingdom,K02000001,2021-08-25,100,132367
overview,United Kingdom,K02000001,2021-08-24,113,132267
overview,United Kingdom,K02000001,2021-08-23,113,132154
overview,United Kingdom,K02000001,2021-08-22,116,132041
overview,United Kingdom,K02000001,2021-08-21,104,131925
overview,United Kingdom,K02000001,2021-08-20,117,131821
overview,United Kingdom,K02000001,2021-08-19,107,131704
overview,United Kingdom,K02000001,2021-08-18,98,131597
overview,United Kingdom,K02000001,2021-08-17,106,131499
overview,United Kingdom,K02000001,2021-08-16,78,131393
overview,United Kingdom,K02000001,2021-08-15,84,131315
overview,United Kingdom,K02000001,2021-08-14,93,131231
overview,United Kingdom,K02000001,2021-08-13,104,131138
overview,United Kingdom,K02000001,2021-08-12,105,131034
overview,United Kingdom,K02000001,2021-08-11,87,130929
overview,United Kingdom,K02000001,2021-08-10,81,130842
overview,United Kingdom,K02000001,2021-08-09,79,130761
overview,United Kingdom,K02000001,2021-08-08,79,130682
overview,United Kingdom,K02000001,2021-08-07,95,130603
overview,United Kingdom,K02000001,2021-08-06,93,130508
overview,United Kingdom,K02000001,2021-08-05,99,130415
overview,United Kingdom,K02000001,2021-08-04,79,130316
overview,United Kingdom,K02000001,2021-08-03,74,130237
overview,United Kingdom,K02000001,2021-08-02,79,130163
overview,United Kingdom,K02000001,2021-08-01,93,130084
overview,United Kingdom,K02000001,2021-07-31,89,129991
overview,United Kingdom,K02000001,2021-07-30,105,129902
overview,United Kingdom,K02000001,2021-07-29,77,129797
