,episode_number,1,2,3,4,5,6,7,8,9
0,1,8.5,8.1,8.3,8.6,8.5,8.1,8.6,8.6,7.8
1,2,8.2,8.2,7.6,8.5,8.1,8.3,8.1,7.4,7.7
2,3,8.1,8.5,8.1,7.7,8.3,7.8,8.9,7.3,7.6
3,4,8.0,8.8,7.7,8.8,8.0,8.6,8.1,7.5,7.3
4,5,8.3,8.8,9.0,8.3,7.8,7.8,7.5,7.5,7.2
5,6,8.1,8.1,8.1,8.0,7.8,7.7,7.7,7.5,7.5
6,7,7.7,9.0,8.0,7.8,7.8,7.7,7.7,7.4,7.4
7,8,8.1,8.0,9.1,8.0,9.4,8.1,7.4,7.5,7.3
8,9,8.0,9.5,9.0,9.2,8.0,8.5,8.3,7.5,8.2
9,10,9.2,8.2,8.0,8.3,8.1,9.1,9.0,8.1,6.7
10,11,8.3,8.1,8.5,8.1,7.8,8.0,8.0,8.6,5.8
11,12,8.1,8.1,8.2,8.6,9.1,8.2,8.8,9.4,7.8
12,13,8.7,7.9,8.8,8.5,8.6,9.0,7.8,7.9,8.2
13,14,8.2,8.4,8.7,8.4,8.8,8.7,7.7,7.9,6.0
14,15,9.1,8.4,8.0,8.3,8.0,8.8,7.4,8.2,8.4
15,16,7.9,8.5,8.2,7.7,7.7,8.0,8.1,7.5,9.5
16,17,7.7,8.2,8.2,8.3,8.3,7.6,8.4,7.8,8.2
17,18,8.5,8.1,8.1,7.6,8.2,8.3,8.0,8.1,8.0
18,19,8.8,8.4,7.7,8.4,7.6,8.3,8.6,8.0,7.7
19,20,7.9,8.9,8.7,7.6,7.8,7.7,8.6,8.4,8.5
20,21,8.1,8.8,,8.7,7.8,7.9,8.0,7.4,8.3
21,22,8.9,8.8,,8.2,8.2,7.9,7.7,8.8,8.9
22,23,,,,7.7,8.1,7.8,8.5,7.6,6.7
23,24,,,,8.7,8.5,8.5,8.9,8.8,5.5
